Reference	 Value
R48	2.2
R49	2.2
C19	4.7
C13	22
C8	33
C9	33
C1	39
C14	45
C2	45
C20	45
C3	47
R13	47
R15	47
R20	47
R33	47
R47	47
R5	47
R9	47
C16	68
C17	68
C4	68
C6	68
C11	100
C21	150
C10	220
R17	470
R22	470
R14	680
R44	680
J4	+12 VDC
R1	100k
R18	100k
R23	100k
R24	100k
R26	100k
R27	100k
R3	100k
R4	100k
R40	100k
R7	100k
R8	100k
C12	100n
C15	100n
C18	100n
C22	100n
C24	100n
C27	100n
C28	100n
C31	100n
C38	100n
C39	100n
C40	100n
C41	100n
C5	100n
C7	100n
C42	100u
C43	100u
R19	10k
R31	10k
R32	10k
R37	10k
R39	10k
R29	10k audio
C26	10n
C36	10n
C23	10u
C25	10u
C34	10u
L3	10u
X5	11.059 MHz
X6	11.059 MHz
R10	1k
R16	1k
R21	1k
R42	1k
R36	1k trim
L2	1u
C29	1u MLCC
C32	1u MLCC
C33	1u MLCC
C35	1u MLCC
C37	1u MLCC
R11	2.2k
R12	2.2k
R35	2.2k
R6	2.2k
R25	22k
R28	22k
Q14	2N7002
Q6	2N7002
Q7	2N7002
Q8	2N7002
R2	3.3k
R38	3.3k
R43	3.3k
X1	4.032 MHz
X2	4.032 MHz
X3	4.032 MHz
X4	4.032 MHz
R34	4.7k
R41	4.7k
R45	4.7k
R46	4.7k
C30	4.7u MLCC
R30	47k
J1	ANT
D4	BAT46W
D1	BAV99
D2	BAV99
Q4	BF998
Q5	BF998
P2	BFO
D5	BZV55-B15
D6	BZV55-B3V3
J2	EXT VFO
T1	FT37-43 6T:20T
P5	GND
D3	GS1M
Q9	IRLML9301
J3	Key Line
D7	LL4148
D8	LL4148
Q1	MMBFJ310
Q3	MMBFJ310
Q11	MMBT4401
Q13	MMBT4401
Q15	MMBT4401
Q16	MMBT4401
Q2	MMBT4401
Q10	MMBT4403
Q12	MMBT4403
Q17	MMBT4403
J5	Phones
JP2	Sidetone
P4	Sidetone
L4	T37-2 25T
L5	T37-2 25T
L1	T50-2 47T
P3	VXO
JP1	VXO Power
P1	XTAL GND
